epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,53195.2,0.72418,0.6124,1.12458,0.81027,0.71665,0.77819,0.51986,1.1685,0.95005,1.52054,0.007723,0.007723,0.007723
71,53932.2,0.72014,0.61668,1.11374,0.809,0.6995,0.77677,0.52459,1.16464,0.95747,1.50269,0.00769,0.00769,0.00769
72,54571.1,0.71596,0.60821,1.12047,0.78946,0.7289,0.78732,0.52244,1.17039,0.97112,1.52088,0.007657,0.007657,0.007657
73,55312.4,0.71741,0.60736,1.12194,0.77647,0.72217,0.76987,0.52193,1.15192,0.97118,1.52405,0.007624,0.007624,0.007624
74,55929,0.71447,0.60589,1.11181,0.79741,0.71332,0.76283,0.52096,1.15296,0.9961,1.52458,0.007591,0.007591,0.007591
75,56803.8,0.72038,0.60862,1.12591,0.78579,0.70876,0.75635,0.50977,1.17387,0.98766,1.54661,0.007558,0.007558,0.007558
76,57436.4,0.70597,0.60039,1.11508,0.78702,0.73775,0.783,0.5211,1.17979,0.97457,1.53707,0.007525,0.007525,0.007525
77,58089.4,0.70281,0.59308,1.10784,0.78329,0.7268,0.77228,0.52126,1.17122,0.95154,1.52194,0.007492,0.007492,0.007492
78,58727.5,0.70737,0.60025,1.11199,0.79788,0.73043,0.78616,0.52759,1.16374,0.94499,1.51767,0.007459,0.007459,0.007459
79,59417.1,0.70678,0.59586,1.11122,0.78826,0.73964,0.78805,0.51969,1.16483,0.94054,1.52365,0.007426,0.007426,0.007426
80,60241.8,0.70067,0.60345,1.1014,0.7639,0.73704,0.7795,0.52607,1.14298,0.96611,1.50838,0.007393,0.007393,0.007393
